Country,Location,Name,Coordinates
AE,ABU,Abu al Bukhoosh,2529N 05308E
AE,AJP,Al Jeer Port,2602N 05603E
AE,AMF,Musaffah,2423N 05429E
AE,AMU,Abu Musa,2552N 05501E
AE,ARP,Ahmed Bin Rashid Port,2532N 05533E
AE,AUH,Abu Dhabi,2428N 05422E
AE,DBP,Dibba,2537N 05616E
AE,DXB,Dubai,2515N 05516E
AE,END,Esnnad,2419N 05427E
AE,FJR,Al Fujayrah,2507N 05620E
AE,FRP,Free Port,2515N 05515E
AE,HSN,Hassyan,2454N 05454E
AE,HTL,Hulaylah Terminal,2559N 05556E
AE,HZP,Hamriya Free Zone Port,2518N 05519E
AE,JAZ,Al Jazeera Port,2543N 05548E
AE,KHL,Mina Khalifa/Abu Dhabi,2450N 05440E
AE,KLB,Kalba,2504N 05621E
AE,KLF,Khor al Fakkan,2520N 05621E
AE,MBS,Mubarras Island,2435N 05319E
AE,MKH,Mina Khalid,2521N 05522E
AE,MRP,Mina Rashid Port,2516N 05517E
AE,MSA,Mina Saqr,2558N 05604E
AE,MZD,Mina Zayed/Abu Dhabi,2431N 05422E
AE,QIW,Umm al Quwain,2535N 05535E
AE,QWE,Jebel Ali Free Zone,2500N 05503E
AE,RFA,Mirfa,2528N 05329E
AE,RKP,Rak Khor Port,2549N 05557E
AE,RKT,Ras al Khaimah,2547N 05557E
AE,RMC,Rak Maritime City,2557N 05603E
AE,RUW,Ar Ruways,2407N 05244E
AE,RWP,Ruwais Port,2406N 05243E
AE,SHJ,Sharjah,2521N 05523E
AE,SID,Sadiyat Island,2432N 05424E
AE,ULR,Umm Al Nar,2426N 05430E
AE,YAS,Yas Island,2419N 05236E
AE,ZUR,Zirku Island,2453N 05304E
AF,DHD,Dehdadi,3639N 06659E
AF,QLT,Qalat,3206N 06653E
AF,RKH,Torkham,3453N 07155E
AG,FAM,Falmouth,1701N 06147W
AG,PHM,Parham,1705N 06145W
AG,SJO,Saint John's,1707N 06151W
AI,MBB,Meads Bay Beach,1810N 06308W
AI,RBY,Road Bay,1812N 06305W
AI,SOM,Sombrero,1836N 06328W
AL,BUT,Butrint,3945N 02001E
AL,HMR,Himare,4008N 01943E
AL,ROM,Romano Port,4122N 01925E
AL,SAR,Sarande,3953N 02000E
AL,SHG,Shengjin,4148N 01934E
AL,VOA,Vlore,4028N 01929E
AO,BAB,Baba,1450S 01214E
AO,BDT,Baia dos Tigres,1636S 01144E
AO,CPO,Capulo,0759S 01310E
AO,CUI,Cuio,1259S 01259E
AO,DAL,Dalia,0741S 01147E
AO,ETN,Essungo Terminal,0620S 01210E
AO,FBY,Farta Bay,1237S 01312E
AO,FLT,Futila Terminal,0527S 01211E
AO,GIM,Gimboa,0732S 01210E
AO,GIR,Girassol Terminal,0738S 01141E
AO,GPO,Greater Plutonio,0750S 01207E
AO,LBT,Lombo Terminal,0659S 01221E
AO,NQI,Noqui,0551S 01326E
AO,NTO,N'Zeto,0714S 01252E
AO,PLE,Tombua,1549S 01151E
AO,PSA,Porto Saco (Portosalazar),1508S 01208E
AO,RSN,River Sao Nicolau,1415S 01220E
AO,STL,Sazaire Terminal,0605S 01223E
AQ,ABA,Aboa,7303S 01325W
AQ,APT,Arturo Prat,6230S 05941W
AQ,ARC,Arctowski,6209S 05828W
AQ,ART,Artigas,6211S 05854W
AQ,BHN,Bellingshausen,6211S 05857W
AQ,CAS,Casey Station,6617S 11031E
AQ,CFZ,Comandante Ferraz,6205S 05823W
AQ,DAV,Davis Station,6834S 07758E
AQ,DDU,Dumont d'Urville Station,6639S 14000E
AQ,ESC,Escudero,6212S 05857W
AQ,ESP,Esperanza,6323S 05659W
AQ,GWL,Great Wall,6213S 05858W
AQ,HLY,Halley,7534S 02632W
AQ,JBS,Jang Bogo Station,7436S 16412E
AQ,JCP,Juan Carlos Primero,6239S 06023W
AQ,JUB,Jubany,6214S 05839W
AQ,KHN,Kohnen,7500S 00004E
AQ,KSG,King Sejong,6213S 05847W
AQ,LAW,Law Base,6923S 07623E
AQ,MAW,Mawson Station,6736S 06252E
AQ,MCM,McMurdo,7750S 16640E
AQ,MIR,Mirny,6633S 09300E
AQ,MRB,Marambio,6414S 05639W
AQ,MZU,Mario Zucchelli,7441S 16407E
AQ,OHG,General Bernardo O'higgins,6319S 05754W
AQ,ORC,Orcadas,6044S 04444W
AQ,PFS,Port Foster,6300S 06034W
AQ,PLM,Palmer,6446S 06403W
AQ,PRO,Progress,6924S 07623E
AQ,ROT,Rothera,6734S 06807W
AQ,SGN,Signy,6043S 04536W
AQ,SMT,San Martin,6807S 06706W
AQ,SYW,Syowa,6900S 03935E
AQ,VKY,Vernadsky,6514S 06415W
AQ,WSA,Wasa,7303S 01325W
AQ,ZGN,Zhongshan,6922S 07623E
AR,ACF,Arrecifes,3405S 06007W
AR,ASO,Arroyo Seco,3308S 06026W
AR,BHI,Bahia Blanca,3843S 06217W
AR,BUE,Buenos Aires,3435S 05840W
AR,BUI,Ingeniero Buitrago,3321S 06008W
AR,BVC,Bella Vista,2830S 05903W
AR,CBS,Chimbas,3129S 06832W
AR,CDL,Candelaria,2727S 05545W
AR,CHO,Chilecito,2910S 06730W
AR,CLC,Caleta Cordoba,4544S 06704W
AR,CMP,Campana,3409S 05857W
AR,COL,Colon,3213S 05808W
AR,COU,Concepcion del Uruguay,3229S 05814W
AR,CSA,Cabo San Antonio,3602S 05634W
AR,DGU,Del Guazu,3354S 05852W
AR,DME,Diamante,3204S 06039W
AR,DSU,Dock Sur,3439S 05820W
AR,GEO,Agrelo,3307S 06853W
AR,GHU,Gualeguaychu,3301S 05831W
AR,IBY,Ibicuy,3344S 05910W
AR,INW,Ingeniero White/Bahia Blanca,3847S 06216W
AR,IQO,Coquimbito,3258S 06845W
AR,LAV,Lavalle,2812S 06508W
AR,LCU,Lujan de Cuyo,3303S 06852W
AR,LPG,La Plata,3451S 05753W
AR,LPM,La Paz,3328S 06733W
AR,LPS,Las Palmas,3401S 05907W
AR,LUJ,Lujan,3434S 05906W
AR,LZG,Luzuriaga,3257S 06849W
AR,MDQ,Mar del Plata,3803S 05732W
AR,NOS,Molinos,2525S 06619W
AR,OVI,Olavarria,3653S 06020W
AR,OYO,Tres Arroyos,3823S 06017W
AR,PAL,Puerto Alumbrera,3239S 06045W
AR,PCO,Punta Colorada,4142S 06500W
AR,PEL,Puerto Eldorado,2621S 05441W
AR,PLA,Puerto Lavalle,2901S 05911W
AR,PME,Punta Medanos,3650S 05640W
AR,PMY,Puerto Madryn,4245S 06502W
AR,PP9,Pablo Podesta,3436S 05831W
AR,PRA,Parana,3144S 06032W
AR,PRS,Puerto Rosales/Bahia Blanca,3856S 06204W
AR,PUD,Puerto Deseado,4745S 06554W
AR,PWA,Puerto Wanda,2558S 05436W
AR,QBR,Quebracho/San Lorenzo,3239S 06043W
AR,QQN,Quequen,3832S 05842W
AR,RFO,Rosario de la Frontera,2548S 06458W
AR,RGA,Rio Grande,5347S 06742W
AR,RGL,Rio Gallegos,5138S 06913W
AR,RIC,Rio Cullen,5248S 06811W
AR,RIV,Rivadavia,3311S 06828W
AR,ROC,Puerto Ingeniero M. Rocca,3451S 05756W
AR,ROS,Rosario,3257S 06039W
AR,RSF,Resinfor,3239S 06044W
AR,RWO,Rawson,4318S 06506W
AR,RZA,Santa Cruz,5001S 06825W
AR,SAE,San Antonio Este,4048S 06444W
AR,SAN,Santa Ana,2720S 05535W
AR,SCA,San Carlos,3346S 06902W
AR,SFN,Santa Fe,3136S 06041W
AR,SIG,San Ignacio,2716S 05534W
AR,SMA,San Martin,3243S 06044W
AR,SMR,San Martin,3304S 06828W
AR,SNS,San Nicolas de los Arroyos,3320S 06014W
AR,SPD,San Pedro,3341S 05910W
AR,SSJ,San Salvador de Jujuy,2411S 06518W
AR,SSN,San Sebastian,5318S 06828W
AR,STA,Santa Rosa,3315S 06809W
AR,TIM,Timbues,3238S 06047W
AR,TUC,Tucuman,2649S 06513W
AR,TUN,Tunuyan,3334S 06901W
AR,ULA,San Julian,4918S 06743W
AR,URD,Urdurrain,3241S 05853W
AR,USH,Ushuaia,5448S 06818W
AR,VCN,Villa Constitucion,3314S 06020W
AR,VHE,Villa Hernandarias,3114S 05959W
AR,VLO,Vicente Lopez,3431S 05829W
AR,ZAE,Zarate,3406S 05902W
AS,PPG,Pago Pago,1416N 17042W
AT,7PZ,Prinzersdorf,4812N 01531E
AT,ATK,Paternion,4642N 01338E
AT,ATN,Asten,4813N 01424E
AT,AWH,Altenworth,4823N 01551E
AT,BFS,Bischofshofen,4725N 01313E
AT,BNN,Hobersbrunn,4830N 01634E
AT,BOE,Bohlerwenk,4759N 01445E
AT,BRI,Engabrunn,4827N 01545E
AT,BRZ,Bregenz,4730N 00946E
AT,DFC,Engerwitzdorf,4821N 01427E
AT,DKZ,Deutschkreutz,4736N 01638E
AT,DOF,Hadersdorf,4827N 01543E
AT,DRA,Drasenhofen,4845N 01639W
AT,DRO,Dross,4827N 01534E
AT,DUE,Durnstein,4823N 01531E
AT,DWA,Deutsch Wagram,4818N 01634E
AT,EBR,Ebreichsdorf,4757N 01624E
AT,EIN,Hoflein,4804N 01647E
AT,EPD,Erpersdorf,4820N 01554E
AT,ERL,Erl,4740N 01210E
AT,ERM,Vordernberg,4728N 01500E
AT,ERO,Engelmannsbrunn,4827N 01553E
AT,ERR,Dobermannsdorf,4836N 01649E
AT,ETZ,Rietz,4717N 01103E
AT,EWD,Eibiswald,4641N 01550E
AT,FBZ,Sankt Stefan ob Stainz,4655N 01515E
AT,FG7,Achau,4840N 16230W
AT,FHR,Fehring,4656N 01600E
AT,FNA,Freudenau,4811N 01626E
AT,FPS,Fulpmes,4709N 01121E
AT,FSU,Faistenau,4746N 01313E
AT,GA6,Gamlitz,4643N 01533E
AT,GDN,Gmunden,4755N 01348E
AT,GFS,Greifenstein,4820N 01614E
AT,GGU,Oggau,4750N 01640E
AT,GHH,Haugsdorf,4842N 01604E
AT,GHJ,Krustetten,4822N 15400W
AT,GRN,Grein,4813N 01450E
AT,GSN,Gutenstein,4752N 01553E
AT,HKM,Hadersdorf-Kammern,4827N 01543E
AT,IEG,Limberg,4835N 01552E
AT,ITN,Hausleiten,4823N 01606E
AT,JDD,Judendorf,4707N 01521E
AT,JPS,Japons,4847N 01534E
AT,KAM,Kammern im Liesingtal,4724N 01454E
AT,KFD,Knittelfeld,4712N 01449E
AT,KMB,Krummnussbaum,4813N 01510E
AT,KTT,Kematen in Tirol,4715N 01116E
AT,LKN,Falkenstein,4843N 01335E
AT,LTS,Leutschach,4640N 01528E
AT,LTX,Hainfeld,4802N 01546E
AT,LUA,Lembach,4829N 01353E
AT,LZD,Langenzersdorf,4818N 01621E
AT,MAB,Marbach an der Donau,4813N 01509E
AT,MAN,Manning,4805N 01340E
AT,MBS,Morbisch am See,4745N 01640E
AT,MKA,Markt Allhau,4714N 01605E
AT,MKC,Mitterkirchen,4811N 01442E
AT,NAD,Neuhofen an der Ybbs,4803N 01451E
AT,ND2,Nickelsdorf,4756N 01704E
AT,NFN,Neufelden,4829N 01359E
AT,NGG,Neudegg,4829N 01553E
AT,NNN,Donnerskirchen,4754N 01638E
AT,NT9,Muthmannsdorf,4750N 01606E
AT,NUZ,Nuziders,4711N 00948E
AT,OSH,Ottensheim,4820N 01411E
AT,PAS,Podersdorf am See,4751N 01650E
AT,PBU,Persenbeug,4811N 01504E
AT,PET,Petzenkirchen,4808N 01509E
AT,RAD,Radstadt,4723N 01327E
AT,REG,Regau,4805N 01408E
AT,RHN,Ranshofen,4814N 01300E
AT,RHR,Rohrau,4804N 01651E
AT,RRF,Ruhrsdorf,4824N 01530E
AT,SAG,Schutzen am Gebirge,4751N 01637E
AT,SAK,Sankt Aegidi,4829N 01345E
AT,SFT,Senftenberg,4826N 01533E
AT,SGS,Sankt Georgen bei Salzburg,4759N 01253E
AT,SK3,Sankt Margrethen,4638N 01423E
AT,SMK,Schonau im Muhlkreis,4823N 01444E
AT,SMR,Sankt Margarethen an der Raab,4703N 01545E
AT,SPG,Spannberg,4827N 01644E
AT,SPZ,Spitz,4822N 01525E
AT,SSS,Steinberg,4729N 01629E
AT,ST6,Straden,4648N 01552E
AT,STD,Steeg,4736N 01338E
AT,SUH,Sankt Ulrich,4836N 01646E
AT,SUS,Steinhaus,4807N 01401E
AT,SVM,Sankt Veit im Muhlkreis,4828N 01409E
AT,SWH,Gross-Schweinbarth,4824N 01637E
AT,SXA,Bernhardsthal,4841N 01652E
AT,TAM,Tamsweg,4708N 01348E
AT,TEN,Hausmannstatten,4659N 01530E
AT,TFS,Terfens,4719N 01139E
AT,THS,Theiss,4823N 01541E
AT,TKP,Taufkirchen an der Pram,4825N 01332E
AT,TMR,Traismauer,4820N 01544E
AT,TTL,Schrattenthal,4842N 01554E
AT,VEL,Velden,4637N 01403E
AT,WDF,Weitendorf,4653N 01528E
AT,WEU,Weinburg,4806N 01531E
AT,WSE,Wallsee,4810N 01443E
AT,WUL,Wulkaprodersdorf,4748N 01630E
AT,XAE,Oehling,4806N 01448E
AT,ZIN,Inzersdorf an der Traisen,4819N 01540E
AT,ZLF,Jetzelsdorf,4842N 01603E
AT,ZNG,Zobing,4829N 01541E
AT,ZRF,Ketzelsdorf,4839N 01639E
AU,5CI,Selby,3755S 14523E
AU,ABP,Abbot Point,1954S 14805E
AU,ADL,Adelaide,3455S 13835E
AU,AGS,Augusta,3419S 11510E
AU,ALD,Aldgate,3501S 13844E
AU,ALI,Australind,3317S 11543E
AU,ALP,Abell Point,2016S 14843E
AU,AMR,Amrun,1255S 14137E
AU,ANN,Annandale,3353S 15110E
AU,APP,Applecross,3201S 11550E
AU,ASB,Ashburton,2141S 11500E
AU,ASH,Ashton,3456S 13844E
AU,ATT,Attadale,3201S 11547E
AU,BAA,Balhannah,3459S 13850E
AU,BAE,Baerami,3224S 15029E
AU,BAL,Balnarring,3822S 14508E
AU,BAR,Barry Beach,3842S 14623E
AU,BBG,Bing Bong,1536S 13621E
AU,BBL,Beelbangera,3416S 14606E
AU,BBY,Bremer Bay,3423S 11922E
AU,BDY,Bomaderry,3451S 15037E
AU,BE9,Belrose,3344S 15113E
AU,BFD,Beresfield,3248S 15139E
AU,BIC,Bicheno,4152S 14817E
AU,BKE,Berkeley Vale,3321S 15126E
AU,BLP,Black Point,1109S 13209E
AU,BNE,Brisbane,2728S 15301E
AU,BNN,Bannockburn,3803S 14410E
AU,BNY,Blayney,3332S 14915E
AU,BOB,Bobin,3143S 15217E
AU,BOD,Boondall,2720S 15303E
AU,BOL,Bridgewater-on-Loddon,3636S 14357E
AU,BOO,Booby Island,1036S 14155E
AU,BOT,Boort,3607S 14343E
AU,BOU,Boundary Bend,3442S 14309E
AU,BOV,Blacktip Terminal,1424S 12921E
AU,BOY,Boyer,4250S 14718E
AU,BPO,Bridport,4100S 14724E
AU,BRR,Berrys Creek,3825S 14604E
AU,BSA,Brighton-Le-Sands,3357S 15109E
AU,BUC,Burketown,1744S 13932E
AU,BUL,Bulli,3418S 15055E
AU,BVD,Belvidere,3518S 13856E
AU,BWI,Bulwer,2704S 15322E
AU,BYY,Bushy Park,3752S 14702E
AU,C8R,Cromer,3446S 13900E
AU,CAP,Capalaba,2731S 15311E
AU,CAR,Carina Heights,2730S 15305E
AU,CBA,Corio Bay,3807S 14426E
AU,CBO,Carboor,3638S 14633E
AU,CDN,Clarendon,3507S 13838E
AU,CHE,Chermside,2723S 15310E
AU,CHV,Challis Venture (oil terminal),1207S 12501E
AU,CLF,Carlingford,3347S 15103E
AU,CLM,Claremont,3159S 11547E
AU,CMB,Cambridge,4250S 14727E
AU,CMO,Como,3400S 15104E
AU,CMP,Camperdown,3353S 15110E
AU,CN6,Chinderah,2814S 15333E
AU,CNW,Coonawarra,3718S 14049E
AU,COO,Coomera,2753S 15318E
AU,COP,Cossack Pioneer (oil terminal),1935S 11627E
AU,COU,Coolum,2633S 15305E
AU,COW,Cowaramup,3352S 11505E
AU,CPR,Coorparoo,2730S 15303E
AU,CRF,Crafers,3500S 13842E
AU,CRL,Coral Bay,2308S 11346E
AU,CRS,Coral Sea,1905S 15054E
AU,CRU,Cronulla,3403S 15109E
AU,CRV,Coromandel Valley,3503S 13837E
AU,CST,Coldstream,3743S 14522E
AU,CTE,Cottesloe,3200S 11546E
AU,CTH,Thevenard Island,2127S 11459E
AU,CTI,Cockatoo Island,1606S 12337E
AU,CTT,Cottles Bridge,3738S 14513E
AU,CUN,Caufield North,3752S 01451E
AU,CVL,Clovelly,3354S 15115E
AU,CVN,Cleveland,2732S 15316E
AU,CVS,Caversham,3153S 11558E
AU,DA5,Twowells,3436S 13830E
AU,DAL,Dalton,3443S 14911E
AU,DAR,Dardanup,3324S 11545E
AU,DGA,Tea Gardens,3240S 15209E
AU,DHI,Dhipirrinjura,1215S 13505E
AU,DIA,Diamond Creek,3740S 14509E
AU,DIL,Cowandilla,3455S 13833E
AU,DIT,Dalrymple Islet,0936S 14318E
AU,DLP,Arndell Park,3347S 15052E
AU,DON,Cape Don,1119S 13145E
AU,DRW,Darwin,1227S 13050E
AU,DRY,Drysdale,3810S 14434E
AU,DSW,Padstow,3357S 15102E
AU,EDE,Eden Valley,3439S 13906E
AU,ELB,Elizabeth Bay,1154S 13633E
AU,ELT,Eltham,3744S 14509E
AU,EVL,Evans Landing,1240S 14151E
AU,FIN,Findon,3454S 13832E
AU,FLD,Frankland,3422S 11404E
AU,FLN,Flynn,3810S 14641E
AU,FRY,Port Fairy,3822S 14214E
AU,FWT,Freshwater,3346S 15117E
AU,GBT,Garbutt,1916S 14646E
AU,GEM,Gembrook,3757S 14533E
AU,GOA,Goolwa,3530S 13847E
AU,GOH,Gove Harbour,1213S 13640E
AU,GOR,Gordon,3735S 14406E
AU,GRB,Gravelly Beach,4118S 14658E
AU,GRK,Greenock,3428S 13855E
AU,GRU,Gruyere,3744S 14527E
AU,GRV,Griffin Venture (oil terminal),2113S 11438E
AU,GTW,Great Western,3709S 14251E
AU,GUM,Gumeracha,3450S 13853E
AU,GUR,The Gurdies,3822S 14533E
AU,HAH,Hahndorf,3502S 13848E
AU,HAM,Hampton,3820S 14515E
AU,HAS,Hastings,3818S 14515E
AU,HBA,Hobart,4252S 14718E
AU,HBE,Heatherbrae,3247S 15144E
AU,HDD,Hoddles Creek,3750S 14535E
AU,HFR,Henderson,3210S 11546E
AU,HNK,Hinchinbrook Island,1823S 14617E
AU,HPP,Happy Valley,3505S 13832E
AU,HTH,Heathcote,3655S 14443E
AU,HTT,Halletts Cove,3504S 13830E
AU,HWD,Hanwood,3420S 14602E
AU,IGF,Ingle Farm,3450S 13838E
AU,IRY,Irymple,3415S 14210E
AU,JML,Laurieton,3139S 15248E
AU,KAN,Kangarilla,3509S 13839E
AU,KAY,Kayena,4111S 14653E
AU,KEI,Keith,3606S 14021E
AU,KJH,Welland,3454S 13832E
AU,KLL,Maryknoll,3855S 14536E
AU,KNG,Kensington Gardens,3492S 13866E
AU,KRB,Karumba,1729S 14050E
AU,LAN,Langarra,1205S 13521E
AU,LEN,Lakes Entrance,3753S 14759E
AU,LMQ,Lake Macquarie,3304S 15136E
AU,LOW,Lisarow,3323S 15122E
AU,LUB,Lucky Bay,3341S 13655E
AU,LYD,Lilydale,3745S 14522E
AU,MAR,Marrickville,3355S 15110E
AU,MBY,Maribyrnong,3747S 14453E
